Rank,Run_ID,Passed_Constraints,Total_Constraints,Warnings,Unassigned,Hour_Difference,Discrimination_Score,WD_Morn,WD_Aftn,SatMornPers,SunMPPers,WeekHrs,MonthNightLim,Month_Wknd,ForbShifts,Festivity,caio_M,caio_P,caio_N,caio_WKND,caio_totH,caio_avgH,genoveffa_M,genoveffa_P,genoveffa_N,genoveffa_WKND,genoveffa_totH,genoveffa_avgH,pallo_M,pallo_P,pallo_N,pallo_WKND,pallo_totH,pallo_avgH,pinco_M,pinco_P,pinco_N,pinco_WKND,pinco_totH,pinco_avgH,sempronio_M,sempronio_P,sempronio_N,sempronio_WKND,sempronio_totH,sempronio_avgH,tizio_M,tizio_P,tizio_N,tizio_WKND,tizio_totH,tizio_avgH
74,17,6,9,1,1,48,11.0,*,,,,*,*,,,,15,3,1,2,156,36.0,13,4,2,1,138,31.9,9,1,0,2,150,34.6,9,4,0,0,108,24.9,13,4,1,1,138,31.9,14,3,1,2,150,34.6
75,24,6,9,1,1,48,11.0,*,,,,*,*,,,,13,4,1,2,150,34.6,13,3,2,2,144,33.3,9,1,0,0,126,29.1,9,4,0,0,108,24.9,15,3,0,2,156,36.0,13,4,2,2,150,34.6
76,84,6,9,1,1,48,11.0,*,,,,*,*,,,,14,4,1,2,144,33.3,14,3,1,2,150,34.6,9,1,0,0,126,29.1,9,4,0,0,108,24.9,14,4,1,2,156,36.0,13,3,2,2,156,36.0
77,9,6,9,1,1,48,12.0,*,,,,*,*,,,,13,3,2,2,156,36.0,13,5,0,0,108,24.9,9,1,0,1,138,31.9,9,4,1,1,132,30.5,16,2,0,2,156,36.0,13,4,2,2,150,34.6
78,53,6,9,1,1,48,12.0,*,,,,*,*,,,,13,4,1,1,138,31.9,14,2,1,2,156,36.0,8,1,2,2,156,36.0,9,4,0,0,108,24.9,14,5,0,1,126,29.1,14,3,1,2,150,34.6
79,87,6,9,1,1,48,12.0,*,,,,*,*,,,,15,4,0,2,138,31.9,12,2,3,1,156,36.0,8,2,0,2,150,34.6,9,4,0,0,108,24.9,15,3,1,2,156,36.0,14,4,1,1,132,30.5
80,100,6,9,1,1,48,12.0,*,,,,*,*,,,,15,3,1,2,156,36.0,13,5,0,0,108,24.9,9,1,0,2,150,34.6,8,4,1,0,114,26.3,15,3,1,2,156,36.0,13,3,2,2,156,36.0
81,45,6,9,1,1,48,14.0,*,,,,*,*,,,,16,3,0,1,150,34.6,12,3,3,1,150,34.6,8,1,2,2,156,36.0,9,4,0,0,108,24.9,14,5,0,2,138,31.9,15,3,0,2,144,33.3
82,14,6,9,2,2,18,10.0,*,,,,*,*,,,,15,4,0,1,138,31.9,13,4,1,2,138,31.9,9,2,0,1,138,31.9,11,3,1,0,138,31.9,14,2,2,2,156,36.0,13,4,1,2,138,31.9
83,20,6,9,2,2,24,10.0,*,,,,*,*,,,,13,4,1,2,138,31.9,14,4,0,1,132,30.5,8,1,1,2,156,36.0,9,2,2,1,144,33.3,16,3,0,1,138,31.9,13,5,1,1,132,30.5
84,42,6,9,2,2,24,10.0,*,,,,*,*,,,,14,5,1,1,138,31.9,14,4,0,1,132,30.5,8,1,1,1,132,30.5,10,2,1,1,138,31.9,13,3,2,2,156,36.0,14,4,0,2,144,33.3
